Data,Dobowa liczba wykonanych testów,Dobowa liczba osób z wynikiem pozywnym,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów)
2020-08-16,13158,595,22 069,"3,26%"
2020-08-17,20530,597,21 696,"3,33%"
2020-08-18,28741,735,22 362,"3,27%"
2020-08-19,25599,767,22 286,"3,26%"
2020-08-20,29689,903,22 709,"3,25%"
2020-08-21,25704,900,22 862,"3,30%"
2020-08-22,19634,581,23 294,"3,21%"
2020-08-23,16754,548,23 807,"3,03%"
2020-08-24,22211,763,24 047,"3,11%"
2020-08-25,28894,729,24 069,"3,10%"
2020-08-26,28283,887,24 453,"3,12%"
2020-08-27,25762,791,23 892,"3,13%"
2020-08-28,21871,759,23 344,"3,12%"
2020-08-29,19017,631,23 256,"3,17%"
2020-08-30,12474,502,22 645,"3,28%"
2020-08-31,29407,550,23 673,"3,06%"
2020-09-01,34167,595,24 426,"2,95%"
2020-09-02,15684,612,22 626,"3,06%"
2020-09-03,22493,691,22 159,"3,06%"
2020-09-04,25566,567,22 687,"2,88%"
2020-09-05,18619,437,22 630,"2,74%"
2020-09-06,10303,302,22 320,"2,58%"
2020-09-07,18818,400,20 807,"2,62%"
2020-09-08,23327,421,19 259,"2,63%"
2020-09-09,18680,506,19 687,"2,46%"
2020-09-10,18643,594,19 137,"2,47%"
2020-09-11,21154,603,18 506,"2,56%"
2020-09-12,14502,502,17 918,"2,72%"
2020-09-13,12631,377,18 251,"2,73%"
2020-09-14,18719,605,18 237,"2,89%"
2020-09-15,21912,600,18 034,"3,02%"
2020-09-16,22192,837,18 536,"3,17%"
2020-09-17,21023,757,18 876,"3,23%"
2020-09-18,20040,1002,18 717,"3,54%"
2020-09-19,18988,910,19 358,"3,73%"
2020-09-20,12224,748,19 300,"4,18%"
2020-09-21,22599,711,19 854,"4,17%"
2020-09-22,22058,974,19 875,"4,41%"
2020-09-23,23725,1136,20 094,"4,55%"
2020-09-24,24232,1587,20 552,"4,97%"
2020-09-25,23290,1584,21 017,"5,23%"
2020-09-26,18821,1350,20 993,"5,57%"
2020-09-27,13467,1306,21 170,"6,08%"
2020-09-28,23119,1326,21 245,"6,45%"
2020-09-29,28021,1552,22 096,"6,61%"
2020-09-30,29615,1967,22 938,"6,88%"
2020-10-01,28724,2292,23 580,"7,08%"
2020-10-02,30515,2367,24 612,"7,22%"
2020-10-03,25976,1934,25 634,"7,26%"
2020-10-04,18324,2006,26 328,"7,44%"
2020-10-05,24036,2236,26 459,"7,94%"
2020-10-06,44056,3003,28 749,"8,13%"
2020-10-07,44113,4280,30 821,"8,56%"
2020-10-08,30812,4739,31 119,"9,62%"
2020-10-09,28228,5300,30 792,"11,20%"
2020-10-10,31180,4178,31 536,"12,05%"
2020-10-11,25078,4394,32 500,"12,99%"
2020-10-12,33851,5068,33 903,"13,80%"
2020-10-13,43852,6526,33 873,"14,95%"
2020-10-14,64518,8099,36 788,"15,35%"
2020-10-15,50825,7705,39 647,"15,32%"
2020-10-16,48989,9622,42 613,"15,45%"
2020-10-17,37289,8536,43 486,"16,80%"
2020-10-18,36039,7482,45 052,"17,27%"
2020-10-19,41578,9291,46 156,"18,32%"
2020-10-20,59341,10040,48 368,"18,61%"
2020-10-21,50200,12107,46 323,"20,26%"
2020-10-22,62121,13632,47 937,"21,23%"
2020-10-23,55352,13628,48 846,"21,94%"
2020-10-24,53539,11742,51 167,"21,81%"
2020-10-25,50407,10241,53 220,"21,74%"
2020-10-26,66062,16300,56 717,"22,07%"
2020-10-27,60607,18820,56 898,"24,09%"
2020-10-28,67892,20156,59 426,"24,89%"
2020-10-29,78041,21629,61 700,"25,71%"
2020-10-30,59795,21897,62 335,"27,43%"
2020-10-31,49971,17171,61 825,"29,20%"
2020-11-01,65012,15578,63 911,"29,72%"
2020-11-02,65792,19364,63 873,"30,40%"
2020-11-03,69080,24692,65 083,"31,07%"
2020-11-04,67120,27143,64 973,"32,61%"
2020-11-05,82955,27086,65 675,"33,32%"
2020-11-06,66814,27875,66 678,"34,04%"
2020-11-07,61055,24785,68 261,"34,93%"
2020-11-08,43456,21713,65 182,"38,65%"
2020-11-09,54701,25454,63 597,"41,09%"
2020-11-10,53274,25221,61 339,"42,75%"
2020-11-11,57249,22683,59 929,"42,63%"
2020-11-12,57552,24051,56 300,"43,94%"
2020-11-13,56084,25571,54 767,"44,49%"
2020-11-14,46607,21854,52 703,"45,39%"
2020-11-15,35105,20816,51 510,"46,72%"
2020-11-16,41983,19152,49 693,"46,59%"
2020-11-17,57012,19883,50 227,"44,81%"
2020-11-18,58011,23975,50 336,"45,06%"
2020-11-19,55048,22464,49 979,"44,92%"
2020-11-20,43945,24213,48 244,"46,27%"
2020-11-21,42860,18467,47 709,"45,73%"
2020-11-22,27498,15002,46 622,"45,05%"
2020-11-23,33717,10139,45 442,"42,83%"
2020-11-24,48434,15362,44 216,"42,38%"
2020-11-25,45018,16687,42 360,"41,77%"
2020-11-26,46333,17060,41 115,"41,20%"
2020-11-27,42113,15178,40 853,"38,48%"
2020-11-28,24631,11483,38 249,"39,0%"
2020-11-29,25152,5733,37 914,"34,4%"
2020-11-30,38404,9105,38 584,"33,5%"
2020-12-01,42140,13855,37 684,"33,7%"
2020-12-02,38409,14838,36 740,"33,9%"
2020-12-03,40771,13239,35 946,"33,3%"
2020-12-04,35782,12430,35 041,"33,1%"
2020-12-05,23870,9176,34 933,"32,0%"
2020-12-06,20205,4423,34 226,"31,8%"
2020-12-07,30141,8312,33 045,"32,4%"
2020-12-08,41181,12168,32 908,"31,9%"
2020-12-09,38470,13749,32 917,"31,5%"
2020-12-10,34015,13110,31 952,"32,4%"
2020-12-11,33412,11497,31 613,"32,3%"
2020-12-12,22061,8977,31 355,"32,6%"
2020-12-13,19913,4896,31 313,"33,0%"
2020-12-14,30613,6907,31 381,"32,3%"
2020-12-15,42123,12454,31 515,"32,3%"
2020-12-16,37017,11953,31 308,"31,8%"
2020-12-17,33962,11013,31 300,"30,9%"
2020-12-18,30319,11267,30 858,"31,3%"
2020-12-19,22160,8594,30 872,"31,1%"
2020-12-20,19557,4633,30 822,"30,9%"
2020-12-21,29881,7192,30 717,"31,1%"
2020-12-22,35066,12361,29 709,"32,0%"
2020-12-23,35673,13115,29 517,"32,6%"
2020-12-24,21002,9077,27 665,"34,1%"
2020-12-25,14577,5048,25 417,"33,8%"
2020-12-26,14261,3678,24 288,"31,9%"
2020-12-27,16582,3211,23 863,"31,3%"
2020-12-28,33648,7914,24 401,"31,2%"
2020-12-29,38058,12955,24 829,"31,0%"
2020-12-30,53712,13397,27 406,"29,4%"
2020-12-31,46724,11008,31 080,"26,5%"
2021-01-01,31461,9885,33 492,"26,1%"
2021-01-02,29618,5739,35 686,"25,2%"
2021-01-03,25436,4432,36 951,"24,9%"
2021-01-04,48466,7624,39 068,"23,8%"
2021-01-05,61758,14151,42 454,"22,2%"
2021-01-06,46757,12054,41 460,"22,3%"
