---CORRELATION MATRIX---

                                                   Vaccination.ALL  Vaccination.DAILY  Vaccination.COMPLETED  Vaccination.COMPLETED_PERCENT  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.INACTIVE_CASES_SHIFT  CovidGrow.ACTIVE_CASES_SHIFT  CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER  CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER  CovidGrow.SUMMED_RECOVERIES
57         0.108541           0.246087               0.035135                       0.035169                         0.353762                        0.232306                                 0.373923                                           0.362278                0.367278                   0.237927                 0.352588                    0.341376                        0.300429                        0.304973                      0.004350                                   0.363888                                 0.377561                     0.364201
58         0.100985           0.209097               0.029796                       0.029837                         0.335843                        0.216372                                 0.368176                                           0.356759                0.357149                   0.220420                 0.341641                    0.264957                        0.307299                        0.312313                     -0.091307                                   0.353389                                 0.369821                     0.353716
59         0.094050           0.157001               0.025477                       0.025548                         0.326500                        0.210108                                 0.362236                                           0.351204                0.347015                   0.214288                 0.330804                    0.250316                        0.302113                        0.307580                     -0.140508                                   0.342851                                 0.362349                     0.343188
60         0.087382           0.122123               0.021746                       0.021829                         0.320137                        0.210658                                 0.356139                                           0.345751                0.336880                   0.218468                 0.320035                    0.268607                        0.296816                        0.301661                     -0.134293                                   0.332301                                 0.355030                     0.332645
61         0.080758           0.121067               0.018023                       0.018078                         0.320603                        0.212818                                 0.349982                                           0.339839                0.326714                   0.221765                 0.309225                    0.284620                        0.299823                        0.303792                     -0.067389                                   0.321755                                 0.347510                     0.322108
62         0.074149           0.147760               0.014333                       0.014363                         0.326103                        0.221526                                 0.343806                                           0.333682                0.316496                   0.228633                 0.298376                    0.325093                        0.305084                        0.308575                      0.031641                                   0.311231                                 0.339491                     0.311595
63         0.067731           0.164738               0.010934                       0.010992                         0.327971                        0.228144                                 0.337598                                           0.327207                0.306239                   0.235592                 0.287559                    0.346576                        0.296624                        0.300068                      0.065794                                   0.300725                                 0.331048                     0.301099
64         0.061807           0.159466               0.008076                       0.008147                         0.314183                        0.220151                                 0.331346                                           0.320469                0.295941                   0.225211                 0.276790                    0.292494                        0.291237                        0.294580                     -0.023129                                   0.290207                                 0.322350                     0.290590
65         0.056484           0.126034               0.005710                       0.005768                         0.295670                        0.203557                                 0.324998                                           0.313302                0.285619                   0.208860                 0.266093                    0.229447                        0.300950                        0.304634                     -0.086671                                   0.279653                                 0.313715                     0.280041
66         0.051972           0.088493               0.004253                       0.004304                         0.285788                        0.198611                                 0.318610                                           0.306144                0.275276                   0.202305                 0.255494                    0.219341                        0.295118                        0.299214                     -0.131547                                   0.269050                                 0.305289                     0.269439
67         0.047884           0.072382               0.003339                       0.003392                         0.278860                        0.198832                                 0.312114                                           0.298881                0.264928                   0.207174                 0.244969                    0.234654                        0.283096                        0.286668                     -0.107930                                   0.258427                                 0.297034                     0.258814
68         0.043781           0.072797               0.002434                       0.002474                         0.280324                        0.201513                                 0.305203                                           0.291858                0.254539                   0.209987                 0.234390                    0.241610                        0.286781                        0.289338                     -0.011727                                   0.247808                                 0.288487                     0.248195
69         0.039739           0.085721               0.001552                       0.001613                         0.283976                        0.206806                                 0.297749                                           0.284508                0.244091                   0.215430                 0.223762                    0.271887                        0.276978                        0.279688                      0.046405                                   0.237224                                 0.279273                     0.237613
70         0.035904           0.095810               0.000778                       0.000809                         0.283775                        0.211219                                 0.288890                                           0.277567                0.233580                   0.217839                 0.213169                    0.286985                        0.289656                        0.291836                      0.021927                                   0.226676                                 0.269322                     0.227068
71         0.032364           0.097530               0.000289                       0.000312                         0.268816                        0.200416                                 0.278496                                           0.270654                0.223020                   0.207634                 0.202614                    0.236484                        0.280250                        0.281997                     -0.025207                                   0.216005                                 0.259808                     0.216395
72         0.029103           0.087630               0.000069                       0.000062                         0.251004                        0.184400                                 0.266442                                           0.264232                0.212406                   0.190033                 0.192127                    0.176670                        0.269056                        0.270868                     -0.061208                                   0.205317                                 0.250006                     0.205702
73         0.026099           0.068466               0.000000                       0.000000                         0.239310                        0.178290                                 0.252494                                           0.257740                0.201755                   0.182752                 0.181764                    0.167426                        0.254535                        0.256817                     -0.057276                                   0.194644                                 0.239859                     0.195020
74         0.023224           0.051828               0.000000                       0.000000                         0.227622                        0.177227                                 0.236982                                           0.251152                0.191080                   0.184574                 0.171486                    0.186564                        0.243187                        0.245548                     -0.055437                                   0.183974                                 0.229543                     0.184339
75         0.020394           0.045606               0.000000                       0.000000                         0.223808                        0.174850                                 0.220956                                           0.244071                0.180350                   0.183460                 0.161146                    0.184630                        0.232080                        0.234128                     -0.046644                                   0.173281                                 0.218991                     0.173636
76         0.017670           0.052402               0.000000                       0.000000                         0.216366                        0.174178                                 0.204523                                           0.236243                0.169537                   0.182053                 0.150761                    0.192787                        0.230452                        0.232109                      0.006406                                   0.162624                                 0.207607                     0.162972
77         0.015088           0.062551               0.000000                       0.000000                         0.204038                        0.173268                                 0.188153                                           0.227092                0.158643                   0.179662                 0.140427                    0.203098                        0.221752                        0.222955                      0.048612                                   0.151981                                 0.195514                     0.152321
78         0.012744           0.059945               0.000000                       0.000000                         0.181414                        0.160355                                 0.171949                                           0.217066                0.147677                   0.164434                 0.130138                    0.166137                        0.209287                        0.209980                      0.019518                                   0.141325                                 0.182955                     0.141655
79         0.010771           0.051716               0.000000                       0.000000                         0.156012                        0.141341                                 0.156675                                           0.205710                0.136653                   0.143634                 0.119907                    0.112224                        0.193875                        0.194433                     -0.024872                                   0.130635                                 0.170173                     0.130953
80         0.009125           0.031152               0.000000                       0.000000                         0.136697                        0.131123                                 0.142725                                           0.192381                0.125593                   0.134015                 0.109809                    0.102529                        0.181744                        0.182556                     -0.027820                                   0.119936                                 0.157190                     0.120236
81         0.007841           0.024006               0.000000                       0.000000                         0.123858                        0.128128                                 0.129115                                           0.177839                0.114501                   0.131619                 0.099807                    0.116252                        0.166810                        0.167837                     -0.028525                                   0.109199                                 0.144232                     0.109477
82         0.006559           0.020563               0.000000                       0.000000                         0.115095                        0.119515                                 0.115287                                           0.162629                0.103358                   0.121926                 0.089751                    0.107857                        0.148435                        0.149398                     -0.036791                                   0.098423                                 0.131170                     0.098680
83         0.005265           0.022689               0.000000                       0.000000                         0.102763                        0.107751                                 0.101136                                           0.147298                0.092142                   0.110061                 0.079644                    0.097932                        0.138311                        0.138608                      0.010384                                   0.087655                                 0.117524                     0.087894
84         0.004014           0.022235               0.000000                       0.000000                         0.087446                        0.095632                                 0.087239                                           0.132019                0.080844                   0.101365                 0.069587                    0.095914                        0.126283                        0.126067                      0.046269                                   0.076891                                 0.103241                     0.077109
85         0.002940           0.022931               0.000000                       0.000000                         0.072515                        0.081450                                 0.074321                                           0.115028                0.069444                   0.079614                 0.059557                    0.086422                        0.108050                        0.108031                      0.012911                                   0.066074                                 0.088508                     0.066269
